"Title","Measures - Aug 15, 2024 to Aug 16, 2024"
"Portfolio Name","Return StackedTM Bonds & Managed Futures ETF"
"Portfolio Code","196411"
"Analysis Name","DARXF"
"Period Name","Earliest"
"Period Code","Earliest"
"Exported Date","8/19/2024 9:44:48 PM"
"Website","https://ra-prod-web.statpro.com"


"Name","Contribution to Expected Shortfall","Contribution to Value at Risk","Contribution to Volatility","Contribution to Potential Gain","Contribution to Expected Upside","% Marginal Expected Shortfall","% Marginal Value at Risk","% Marginal Volatility","% Marginal Potential Gain","% Marginal Expected Upside","Risk Weight of Covered Securities (%)","Risk Market Value inc. Uncovered Securities (USD)"
"Total","100","100","100","100","100",,,,,,"100","93177659.71"
"AUDUSD Crncy Fut  Sep24","0.402649","0.134393","0.355039","0.291179","0.326407","4.286167","1.253162","1.332052","3.515207","4.865499","1.075765","1001325"
"BP CURRENCY FUT   Sep24","2.026657","0.828973","1.405248","1.630051","1.631551","4.376084","1.567955","1.06945","3.991665","4.933223","5.303409","4936425"
"BRENT CRUDE FUTR  Oct24","-0.051779","-0.034505","0.031656","-0.006184","0.007932","2.308876","1.347789","-0.49751","0.312746","-0.495268","-0.256811","-239040"
"C$ CURRENCY FUT   Sep24","-1.728768","-0.308693","-1.365986","-1.175568","-1.489414","2.016082","0.315345","0.561462","1.554773","2.432271","-9.819486","-9140000"
"COPPER FUTURE     Sep24","0.380831","0.235174","0.334644","0.011568","0.282653","4.354119","2.355296","1.348506","0.149995","4.525284","1.001596","932287.5"
"DAX INDEX FUTURE  Sep24","-0.352165","-0.061381","-0.297331","-0.087747","-0.201237","7.447927","1.137135","2.216323","2.104602","5.959683","-0.541465","-505555.92"
"EURO FX CURR FUT  Sep24","2.156993","0.985568","1.845809","1.066082","1.482157","2.873668","1.150171","0.866716","1.610743","2.765074","8.595528","8000737.5"
"EURO STOXX 50     Sep24","2.653174","0.544171","2.26115","0.751822","1.49012","7.481428","1.344133","2.247245","2.404261","5.883893","4.061081","3791754.6"
"EURO-BUND FUTURE  Sep24","5.187819","5.573533","4.52566","4.834268","4.137198","11.055624","10.4044","3.399247","11.683605","12.346092","5.373558","5017189.83"
"First American Government Obligations Fund","0.333034","0.278348","0.512567","0.877222","0.650412","0.094504","0.069189","0.051264","0.282306","0.258449","40.355038","37659983.45"
"FTSE 100 IDX FUT  Sep24","6.191593","1.276271","4.439539","2.213994","3.685468","6.490119","1.171874","1.640176","2.63193","5.409632","10.924715","10210938.49"
"FUTADJ-AUDUSD Crncy Fut  Sep24","0","0","0","0","0","0","0","0","0","0","-1.075765","-1001325"
"FUTADJ-BP CURRENCY FUT   Sep24","0","0","0","0","0","0","0","0","0","0","-5.303409","-4936425"
"FUTADJ-BRENT CRUDE FUTR  Oct24","0","0","0","0","0","0","0","0","0","0","0.256811","239040"
"FUTADJ-C$ CURRENCY FUT   Sep24","0","0","0","0","0","0","0","0","0","0","9.819486","9140000"
"FUTADJ-COPPER FUTURE     Sep24","0","0","0","0","0","0","0","0","0","0","-1.001596","-932287.5"
"FUTADJ-DAX INDEX FUTURE  Sep24","0.134692","0.062097","0.116588","0.068963","0.094738","2.84861","1.1504","0.869052","1.654077","2.805698","0.541465","505555.92"
"FUTADJ-EURO FX CURR FUT  Sep24","0","0","0","0","0","0","0","0","0","0","-8.595528","-8000737.5"
"FUTADJ-EURO STOXX 50     Sep24","-1.010216","-0.465739","-0.874429","-0.517237","-0.710555","2.84861","1.1504","0.869052","1.654077","2.805698","-4.061081","-3791754.6"
"FUTADJ-EURO-BUND FUTURE  Sep24","-1.336702","-0.616258","-1.157031","-0.684399","-0.940195","2.84861","1.1504","0.869052","1.654077","2.805698","-5.373558","-5017189.83"
"FUTADJ-FTSE 100 IDX FUT  Sep24","-4.124944","-1.631814","-2.871748","-3.33884","-3.344082","4.323826","1.498335","1.06096","3.969113","4.908535","-10.924715","-10210938.49"
"FUTADJ-GASOLINE RBOB FUT Sep24","0","0","0","0","0","0","0","0","0","0","1.042417","970284"
"FUTADJ-GOLD 100 OZ FUTR  Dec24","0","0","0","0","0","0","0","0","0","0","-9.815274","-9136080"
"FUTADJ-JPN YEN CURR FUT  Sep24","0","0","0","0","0","0","0","0","0","0","1.552652","1445212.5"
"FUTADJ-LONG GILT FUTURE  Sep24","-4.316033","-1.707409","-3.004782","-3.493512","-3.498997","4.323826","1.498335","1.06096","3.969113","4.908535","-11.430805","-10683962.87"
"FUTADJ-Low Su Gasoil G   Sep24","0","0","0","0","0","0","0","0","0","0","1.235063","1149600"
"FUTADJ-NASDAQ 100 E-MINI Sep24","0","0","0","0","0","0","0","0","0","0","-2.527594","-2352690"
"FUTADJ-NATURAL GAS FUTR  Sep24","0","0","0","0","0","0","0","0","0","0","2.508911","2335300"
"FUTADJ-NIKKEI 225  (CME) Sep24","0","0","0","0","0","0","0","0","0","0","0.202487","188475"
"FUTADJ-NY Harb ULSD Fut  Sep24","0","0","0","0","0","0","0","0","0","0","1.681223","1564886.4"
"FUTADJ-S&P/TSX 60 IX FUT Sep24","-0.37961","-0.066043","-0.301555","-0.261918","-0.330553","2.00992","0.306307","0.562742","1.572729","2.450793","-2.162814","-2018007.51"
"FUTADJ-S&P500 EMINI FUT  Sep24","0","0","0","0","0","0","0","0","0","0","-12.884838","-11993237.5"
"FUTADJ-SILVER FUTURE     Sep24","0","0","0","0","0","0","0","0","0","0","-2.634464","-2452165"
"FUTADJ-US 10YR NOTE (CBT)Sep24","0","0","0","0","0","0","0","0","0","0","-24.91122","-23187421.87"
