"Title","Measures - Aug 19, 2024 to Aug 20, 2024"
"Portfolio Name","Return StackedTM Bonds & Managed Futures ETF"
"Portfolio Code","196411"
"Analysis Name","DARXF"
"Period Name","Earliest"
"Period Code","Earliest"
"Exported Date","8/21/2024 1:26:16 PM"
"Website","https://ra-prod-web.statpro.com"


"Name","Contribution to Expected Shortfall","Contribution to Value at Risk","Contribution to Volatility","Contribution to Potential Gain","Contribution to Expected Upside","% Marginal Expected Shortfall","% Marginal Value at Risk","% Marginal Volatility","% Marginal Potential Gain","% Marginal Expected Upside","Risk Weight of Covered Securities (%)","Risk Market Value inc. Uncovered Securities (USD)"
"Total","100","100","100","100","100",,,,,,"100","93893566.02"
"AUDUSD Crncy Fut  Sep24","0.993044","0.705295","0.774994","0.732904","0.737869","5.619397","3.346077","1.523327","4.395798","5.742741","2.087689","1957935"
"BP CURRENCY FUT   Sep24","3.852696","2.338856","2.18855","2.032043","2.665198","6.164165","3.137304","1.216297","3.445973","5.864865","7.383759","6924843.75"
"BRENT CRUDE FUTR  Oct24","-0.592021","-0.490426","0.113815","0.230509","-0.300382","5.310298","3.688071","-0.354615","-2.191495","3.705738","-1.317058","-1235200"
"C$ CURRENCY FUT   Sep24","-2.041847","-2.23248","-1.334038","-1.139616","-1.519425","3.048467","2.794408","0.691832","1.803377","3.120016","-7.912769","-7420975"
"COPPER FUTURE     Sep24","1.156506","0.90587","0.866579","0.694099","0.823294","6.486895","4.259892","1.688383","4.126482","6.351306","2.106191","1975287.5"
"DAX INDEX FUTURE  Sep24","0.904017","1.050141","0.751618","0.540378","0.579595","9.799723","9.543951","2.830141","6.20875","8.641325","1.089808","1023311.88"
"EURO FX CURR FUT  Sep24","4.726785","3.215931","3.870054","4.150936","3.651503","3.483865","1.98722","0.9908","3.242732","3.701572","16.02845","15032250"
"EURO STOXX 50     Sep24","4.461196","5.451784","3.766087","2.699917","2.844024","9.829561","10.070829","2.88235","6.305256","8.618568","5.36172","5034567.83"
"EURO-BUND FUTURE  Sep24","9.644954","8.370978","8.65328","9.902708","8.107615","11.003174","8.00641","3.429037","11.974059","12.721255","10.355453","9723601.89"
"First American Government Obligations Fund","0.289451","0.036836","0.46888","0.676545","0.525594","0.083432","0.008902","0.046946","0.206692","0.208367","40.985325","38546774.42"
"FTSE 100 IDX FUT  Sep24","10.122079","11.260099","6.428113","3.794984","6.24672","9.608842","8.961637","2.119622","3.818395","8.15591","12.444733","11674458.64"
"FUTADJ-AUDUSD Crncy Fut  Sep24","0","0","0","0","0","0","0","0","0","0","-2.087689","-1957935"
"FUTADJ-BP CURRENCY FUT   Sep24","0","0","0","0","0","0","0","0","0","0","-7.383759","-6924843.75"
"FUTADJ-BRENT CRUDE FUTR  Oct24","0","0","0","0","0","0","0","0","0","0","1.317058","1235200"
"FUTADJ-C$ CURRENCY FUT   Sep24","0","0","0","0","0","0","0","0","0","0","7.912769","7420975"
"FUTADJ-COPPER FUTURE     Sep24","0","0","0","0","0","0","0","0","0","0","-2.106191","-1975287.5"
"FUTADJ-DAX INDEX FUTURE  Sep24","-0.319325","-0.215552","-0.263574","-0.284374","-0.249921","3.461545","1.95899","0.992461","3.267362","3.726142","-1.089808","-1023311.88"
"FUTADJ-EURO FX CURR FUT  Sep24","0","0","0","0","0","0","0","0","0","0","-16.02845","-15032250"
"FUTADJ-EURO STOXX 50     Sep24","-1.57104","-1.060488","-1.296752","-1.399087","-1.229582","3.461545","1.95899","0.992461","3.267362","3.726142","-5.36172","-5034567.83"
"FUTADJ-EURO-BUND FUTURE  Sep24","-3.034255","-2.048192","-2.504506","-2.702152","-2.374775","3.461545","1.95899","0.992461","3.267362","3.726142","-10.355453","-9723601.89"
"FUTADJ-FTSE 100 IDX FUT  Sep24","-6.434928","-3.872318","-3.664352","-3.402491","-4.470775","6.108647","3.081883","1.208293","3.423481","5.837181","-12.444733","-11674458.64"
