"Title","Measures - Dec 5, 2023 to Aug 20, 2024"
"Portfolio Name","Return Stacked Global Stocks & Bonds ETF"
"Portfolio Code","196413"
"Analysis Name","BQFAH"
"Period Name","Earliest"
"Period Code","Earliest"
"Exported Date","8/21/2024 1:33:11 PM"
"Website","https://ra-prod-web.statpro.com"


"Name","Contribution to Expected Shortfall","Contribution to Value at Risk","Contribution to Volatility","Contribution to Potential Gain","Contribution to Expected Upside","% Marginal Expected Shortfall","% Marginal Value at Risk","% Marginal Volatility","% Marginal Potential Gain","% Marginal Expected Upside","Risk Weight of Covered Securities (%)","Risk Market Value inc. Uncovered Securities (USD)"
"Total","100","100","100","100","100",,,,,,"100","190332224.01"
"First American Government Obligations Fund","0.044203","0.00386","0.040032","0.046568","0.060162","0.11857","0.008403","0.034638","0.098434","0.176235","6.392519","12201256.76"
"FUTADJ-S&P500 EMINI FUT  Sep24","0","0","0","0","0","0","0","0","0","0","-9.007162","-17140237.5"
"FUTADJ-US 10YR NOTE (CBT)Sep24","0","0","0","0","0","0","0","0","0","0","-24.46752","-46560625.06"
"FUTADJ-US 2YR NOTE (CBT) Sep24","0","0","0","0","0","0","0","0","0","0","-23.872475","-45428281.37"
"FUTADJ-US 5YR NOTE (CBT) Sep24","0","0","0","0","0","0","0","0","0","0","-24.293383","-46229250"
"FUTADJ-US LONG BOND(CBT) Sep24","0","0","0","0","0","0","0","0","0","0","-24.542469","-46703250"
"OTHER_NET_ASSETS","0","0","0","0","0","0","0","0","0","0","6.227801","11851234.6"
"S&P500 EMINI FUT  Sep24","6.470782","7.337219","6.529785","5.551724","4.984073","12.318753","11.337186","4.009785","8.328565","10.361782","9.007162","17140237.5"
"US 10YR NOTE (CBT)Sep24","8.822047","6.845042","8.562102","9.637393","12.691481","6.182689","3.89357","1.935533","5.322307","9.713157","24.46752","46560625.06"
"US 2YR NOTE (CBT) Sep24","2.147453","1.691697","1.993282","1.393325","2.611667","1.542496","0.98625","0.461829","0.788652","2.048606","23.872475","45428281.37"
"US 5YR NOTE (CBT) Sep24","5.641007","4.683855","5.47794","5.617885","7.964175","3.981683","2.68335","1.247209","3.124749","6.138904","24.293383","46229250"
"US DOLLARS","0","0","0","0","0","0","0","0","0","0","0.001512","2877.61"
"US LONG BOND(CBT) Sep24","16.200531","12.271378","14.934148","17.49564","22.20774","11.319024","6.958839","3.365676","9.632564","16.944323","24.542469","46703250"
"Vanguard Total International Stock ETF","21.374117","23.10132","22.499018","25.274904","18.893013","10.699151","9.385593","3.632761","9.969721","10.327672","34.256016","65187705.84"
"Vanguard Total Stock Market ETF","39.299862","44.065628","39.96369","34.982563","30.587688","12.685667","11.54479","4.161023","8.898283","10.78224","53.122154","101089149.2"
