"Title","Measures - Sep 7, 2023 to Aug 19, 2024"
"Portfolio Name","Return Stacked U.S. Stocks & Managed Futures ETF"
"Portfolio Code","196396"
"Analysis Name","W0POJ"
"Period Name","Earliest"
"Period Code","Earliest"
"Exported Date","8/20/2024 2:14:02 PM"
"Website","https://ra-prod-web.statpro.com"


"Name","Contribution to Expected Shortfall","Contribution to Value at Risk","Contribution to Volatility","Contribution to Potential Gain","Contribution to Expected Upside","% Marginal Expected Shortfall","% Marginal Value at Risk","% Marginal Volatility","% Marginal Potential Gain","% Marginal Expected Upside","Risk Weight of Covered Securities (%)","Risk Market Value inc. Uncovered Securities (USD)"
"Total","100","100","100","100","100",,,,,,"100","213420057.06"
"AUDUSD Crncy Fut  Sep24","0.097006","0.121336","0.19338","0.107867","0.130976","2.104671","2.27701","1.294201","1.959016","2.867621","0.978814","2088160"
"BP CURRENCY FUT   Sep24","0.446493","0.354688","0.790815","0.705925","1.158232","1.705767","1.172042","0.931935","2.257518","4.46526","5.558775","11858850.01"
"BRENT CRUDE FUTR  Oct24","-0.029324","-0.040819","-0.065861","-0.046069","-0.029135","1.425578","1.716412","0.987651","1.874739","1.429321","-0.436833","-931920"
"C$ CURRENCY FUT   Sep24","-0.320436","-0.519305","-0.997796","-0.58506","-0.963706","0.71136","0.997151","0.683275","1.087215","2.15893","-9.566135","-20407980"
"COPPER FUTURE     Sep24","0.453852","0.800878","0.527942","0.272393","0.147899","5.621154","8.579636","2.01699","2.824069","1.848518","1.714639","3657937.5"
"EURO FX CURR FUT  Sep24","0.258807","0.216015","1.333185","1.152283","1.878362","0.447265","0.322897","0.7107","1.666927","3.275784","12.288371","26215481.25"
"EURO STOXX 50     Sep24","1.615676","2.217665","2.779986","2.977204","3.672292","6.984999","8.292759","3.707322","10.774272","16.021212","4.912158","10496929.46"
"EURO-BUND FUTURE  Sep24","1.255937","0.90576","1.579837","2.223775","2.287482","3.918084","2.444049","1.520281","5.807164","7.201282","6.807355","14546832.64"
"First American Government Obligations Fund","0.04504","-0.005089","0.032423","0.031176","0.045534","0.065768","-0.006427","0.014604","0.038107","0.067097","14.543369","31110549.77"
"FTSE 100 IDX FUT  Sep24","3.880722","4.876798","4.894384","4.76888","6.538217","6.509392","7.075442","2.532396","6.695939","11.067085","12.660665","27019179.62"
"FUTADJ-AUDUSD Crncy Fut  Sep24","0","0","0","0","0","0","0","0","0","0","-0.978814","-2088160"
"FUTADJ-BP CURRENCY FUT   Sep24","0","0","0","0","0","0","0","0","0","0","-5.558775","-11858850.01"
"FUTADJ-BRENT CRUDE FUTR  Oct24","0","0","0","0","0","0","0","0","0","0","0.436833","931920"
"FUTADJ-C$ CURRENCY FUT   Sep24","0","0","0","0","0","0","0","0","0","0","9.566135","20407980"
"FUTADJ-COPPER FUTURE     Sep24","0","0","0","0","0","0","0","0","0","0","-1.714639","-3657937.5"
"FUTADJ-EURO FX CURR FUT  Sep24","0","0","0","0","0","0","0","0","0","0","-12.288371","-26215481.25"
"FUTADJ-EURO STOXX 50     Sep24","-0.097974","-0.078544","-0.532518","-0.465809","-0.755149","0.423568","0.293707","0.710154","1.685726","3.294509","-4.912158","-10496929.46"
"FUTADJ-EURO-BUND FUTURE  Sep24","-0.135774","-0.108847","-0.737973","-0.645526","-1.046499","0.423568","0.293707","0.710154","1.685726","3.294509","-6.807355","-14546832.64"
"FUTADJ-FTSE 100 IDX FUT  Sep24","-1.018592","-0.802081","-1.793627","-1.592663","-2.622037","1.708553","1.163689","0.928038","2.236242","4.43826","-12.660665","-27019179.62"
"FUTADJ-GASOLINE RBOB FUT Sep24","0","0","0","0","0","0","0","0","0","0","1.292474","2757308.4"
"FUTADJ-GOLD 100 OZ FUTR  Dec24","0","0","0","0","0","0","0","0","0","0","-9.887136","-21092789.99"
"FUTADJ-JPN YEN CURR FUT  Sep24","0","0","0","0","0","0","0","0","0","0","2.968784","6333475.02"
"FUTADJ-LONG GILT FUTURE  Sep24","-0.937","-0.737832","-1.649952","-1.465086","-2.412003","1.708553","1.163689","0.928038","2.236242","4.43826","-11.646507","-24854861.13"
"FUTADJ-Low Su Gasoil G   Sep24","0","0","0","0","0","0","0","0","0","0","0.698406","1489950"
"FUTADJ-NASDAQ 100 E-MINI Sep24","0","0","0","0","0","0","0","0","0","0","-3.537123","-7545945"
"FUTADJ-NATURAL GAS FUTR  Sep24","0","0","0","0","0","0","0","0","0","0","2.661017","5676900"
"FUTADJ-NY Harb ULSD Fut  Sep24","0","0","0","0","0","0","0","0","0","0","1.515114","3232278"
"FUTADJ-S&P/TSX 60 IX FUT Sep24","-0.100824","-0.162781","-0.317916","-0.187334","-0.307925","0.702286","0.980714","0.683074","1.092278","2.164414","-3.048846","-6508569.98"
"FUTADJ-S&P500 EMINI FUT  Sep24","0","0","0","0","0","0","0","0","0","0","-38.66184","-82479500"
"FUTADJ-SILVER FUTURE     Sep24","0","0","0","0","0","0","0","0","0","0","-2.74722","-5860800"
"FUTADJ-US 10YR NOTE (CBT)Sep24","0","0","0","0","0","0","0","0","0","0","-9.446586","-20152937.5"
"FUTADJ-US 2YR NOTE (CBT) Sep24","0","0","0","0","0","0","0","0","0","0","132.45473","282573202.43"
"FUTADJ-US 5YR NOTE (CBT) Sep24","0","0","0","0","0","0","0","0","0","0","-98.01106","-209092579.12"
"FUTADJ-US LONG BOND(CBT) Sep24","0","0","0","0","0","0","0","0","0","0","19.384678","41354437.5"
"FUTADJ-WTI CRUDE FUTURE  Oct24","0","0","0","0","0","0","0","0","0","0","-0.483388","-1031240"
"GASOLINE RBOB FUT Sep24","-0.142169","-0.144329","-0.17545","-0.414246","-0.473115","2.335974","2.051197","0.889244","5.697543","7.844688","-1.292474","-2757308.4"
"GOLD 100 OZ FUTR  Dec24","0.917667","-0.837088","1.299865","0.882424","1.57428","1.971056","-1.555163","0.861227","1.586567","3.412258","9.887136","21092789.99"
"iShares Core S&P 500 ETF","57.273552","57.872566","53.337223","48.18633","47.116447","16.336967","14.278446","4.69303","11.505576","13.562379","74.45042","158829303.88"
"JPN YEN CURR FUT  Sep24","0.32486","0.371406","-0.131426","0.012525","-0.180173","-2.323819","-2.297979","0.289996","-0.074995","1.30059","-2.968784","-6333475.02"
"LONG GILT FUTURE  Sep24","2.022916","1.459052","4.518831","10.507397","11.335818","3.688643","2.30118","2.541678","16.03803","20.858719","11.646507","24854861.13"
"Low Su Gasoil G   Sep24","-0.196744","-0.059126","-0.0955","-0.033937","-0.034282","5.982438","1.555067","0.89575","0.863812","1.051946","-0.698406","-1489950"
"NASDAQ 100 E-MINI Sep24","3.353273","3.407025","3.28129","2.614509","2.580171","20.132755","17.69296","6.076935","13.139889","15.632514","3.537123","7545945"
"NATURAL GAS FUTR  Sep24","-0.01739","-1.020889","0.01041","1.130982","0.08564","0.138785","7.047032","-0.025627","-7.555436","-0.689699","-2.661017","-5676900"
"NY Harb ULSD Fut  Sep24","-0.268472","-0.122594","-0.128325","0.292861","0.204531","3.763035","1.486274","0.554824","-3.436115","-2.892968","-1.515114","-3232278"
"OTHER_NET_ASSETS","0","0","0","0","0","0","0","0","0","0","11.006224","23480203.41"
"S&P/TSX 60 IX FUT Sep24","1.216194","1.375562","1.600964","1.463649","1.647506","8.471333","8.287434","3.439824","8.534006","11.580358","3.048846","6508569.98"
"S&P500 EMINI FUT  Sep24","29.75456","30.065485","27.66578","24.604334","24.229887","16.343891","14.284368","4.687599","11.313077","13.430721","38.66184","82479500"
